benchmark,complexity,total_ms,per_op_ns
pause_loop,2000,3.922656,1961.328
pause_loop,10000,19.814355,1981.436
pause_loop,20000,38.685449,1934.272
pause_loop,40000,78.152686,1953.817
pause_loop,80000,155.139551,1939.244
emit_await,1000,3.933789,1966.895
emit_await,2000,7.931689,1982.922
emit_await,4000,16.079199,2009.900
emit_await,8000,31.657031,1978.564
emit_await,16000,63.637598,1988.675
await_immediate,400,3.877051,9692.627
await_immediate,1000,9.834082,9834.082
await_immediate,2000,19.652197,9826.099
await_immediate,4000,38.573047,9643.262
await_immediate,8000,80.890039,10111.255
when_guard,1000,5.052637,5052.637
when_guard,2000,10.255762,5127.881
when_guard,4000,20.320020,5080.005
when_guard,8000,38.957324,4869.666
when_guard,16000,78.521680,4907.605
watch_preempt,600,0.876318,1460.531
watch_preempt,1400,1.817187,1297.991
watch_preempt,3000,3.984570,1328.190
watch_preempt,6000,7.997217,1332.869
watch_preempt,12000,15.703418,1308.618
parallel_fanout,16,0.858350,1341.171
parallel_fanout,32,1.716797,1341.248
parallel_fanout,64,4.189600,1636.562
parallel_fanout,128,11.111426,2170.200
parallel_fanout,192,77.384082,10076.052
parallel_fanout,256,32.528613,3176.622
combined_core,600,4.743994,1976.664
combined_core,1400,11.041309,1971.662
combined_core,3000,23.374951,1947.913
combined_core,6000,46.562891,1940.120
combined_core,12000,93.069385,1938.946
